[2019-11-24 05:35:47.243] [nemo] [info] [engine/src/Controller.cpp:97] Used keyboard mapping from C:\Users\ZheCheng\Documents\code\githubs\renemo\asset\controller\player.json
[2019-11-24 05:35:51.023] [nemo] [debug] [engine/src/Controller.cpp:149] Key 18 pressed
[2019-11-24 05:35:51.024] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:51.055] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:51.088] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:51.122] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:51.155] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:51.189] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:51.222] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:51.255] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:51.289] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:51.323] [nemo] [debug] [engine/src/Controller.cpp:164] Key 18 released
[2019-11-24 05:35:51.720] [nemo] [debug] [engine/src/Controller.cpp:149] Key 3 pressed
[2019-11-24 05:35:51.720] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:51.752] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:51.785] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:51.818] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:51.851] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:51.884] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:51.917] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:51.951] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:51.984] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.017] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.050] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.083] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.117] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.151] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.184] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.218] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.251] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.284] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.317] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.350] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.383] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.416] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.450] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.484] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.518] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.552] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.585] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.618] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:52.651] [nemo] [debug] [engine/src/Controller.cpp:164] Key 3 released
[2019-11-24 05:35:52.752] [nemo] [debug] [engine/src/Controller.cpp:149] Key 18 pressed
[2019-11-24 05:35:52.753] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:52.785] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:52.818] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:52.851] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:52.885] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:52.918] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:52.950] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:52.983] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.017] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.051] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.085] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.119] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.153] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.187] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.220] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.253] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.286] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.320] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.353] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.387] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.420] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.454] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.487] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.521] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.555] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.588] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.621] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.654] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
